name,color,
eNCA - @enca,#7a2280,journo
EWN Reporter - @ewnreporter,#7a2280,journo
DA - @our_da,#3eb1cc,DA
Debora Patta - @debora_patta,#7a2280,journo
EFF - @econfreedomza,#990002,EFF
Mmusi Maimane - @mmusimaimane,#3eb1cc,DA
Maps Maponyane - @mapsmaponyane,#4c1d52,celeb
Siv Ngesi - @iamsivn,#4c1d52,celeb
ANN7 - @ann7tv,#7a2280,journo
Julius Malema - @julius_s_malema,#990002,EFF
IOL News - @iol,#7a2280,journo
@barry_roux,#4c1d52,celeb
Nando's - @nandossa,#4c1d52,celeb
The Presidency - @presidencyza,#79d738,government
News24 - @news24,#7a2280,journo
Times LIVE - @timeslive,#7a2280,journo
Chester Missing - @chestermissing,#4c1d52,celeb
Sizwe Dhlomo - @sizwedhlomo,#4c1d52,celeb
Parliament - @parliamentofrsa,#79d738,government
Dianne Hawker - @diannehawker,#7a2280,journo
Economy,#ec008c,issues
Education,#ec008c,issues
Finance,#ec008c,issues
Jobs,#ec008c,issues
Land,#ec008c,issues
Honourable Speaker,#ffd138,government
Mandela,#666666,yellow
Nkandla,#489a1e,zuma
ANC,#145d04,ANC
Cope,#ffca08,Cope
DA,#3eb1cc,DA
EFF,#990002,EFF
Point of Order,#ffd138,government
Police,#ffd138,government
Racism,#ec008c,issues
Rand,#ffd138,government
Resign,#ec008c,issues
SABC,#ffd138,government
ZumaMustFall,#489a1e,zuma
Zupta,#489a1e,zuma
